,Flac -0,Flac -5,Flac -8,WavPack ,WavPack -h,WavPack -hh,TTA,Monkey's Audio -c1000,Monkey's Audio -c2000,Monkey's Audio -c3000,Monkey's Audio -c4000,MPEG4-ALS ,LINNE -m 0,LINNE -m 4,LINNE -m 7
classic mean encode time,0.11156339128944813,0.1923194945021062,0.34401540654871576,0.29299093355156614,0.3666648757431909,0.4552711760964033,0.2191969033300377,0.23613909956808077,0.33980894311241244,0.39104383828705447,0.7949383704738612,0.7368695780003742,2.627813714330519,9.090835017705986,16.06781709857053
genre mean encode time,0.12389274278240318,0.18187023728739457,0.4275905393825265,0.2827624656778454,0.37368523044940805,0.46311608919827263,0.22491563085249147,0.24264855951391218,0.3533577985209724,0.4021254084485133,0.8084048191268923,0.7327880196320685,2.5385934521637803,8.313214731545653,14.07058925379892
jazz mean encode time,0.11821340812876578,0.1670143261106629,0.3822229499038869,0.2748390243667671,0.36749997214681857,0.4557047065232442,0.23265692537996646,0.23602910982473768,0.3454900864636176,0.3922542164374757,0.8015372408962641,0.7360690829643007,2.543577690479283,8.503658618192535,14.722733073716213
popular mean encode time,0.14264084034001406,0.17750829617216102,0.38505523386650364,0.2776100993815398,0.3740555626125927,0.4650694288498908,0.2283841458800323,0.24813860772715596,0.3611847148036584,0.41069553355617516,0.8174263341757569,0.7296020254395843,2.5500238568639064,8.45422014413516,14.159152112854546
right mean encode time,0.1558289407345343,0.1751239615306858,0.3765724851598564,0.28078127342642306,0.37685849765507373,0.46712398320415127,0.2227715488956779,0.24735467668334485,0.3571766558053192,0.40693462352580884,0.810031926978784,0.7331088360019024,2.5820174388115484,8.62682528568212,14.994974849453666
Total mean encode time,0.12851718131096584,0.17823099946150844,0.3868442628107394,0.2808294159878819,0.3714262033943746,0.4609731317033758,0.22672819826017265,0.24203083781046236,0.3519557075948982,0.40094196412153843,0.8074595367343389,0.7332796536053505,2.560705331452732,8.548711360832717,14.6395311714884
classic mean decode time,0.08880268937668984,0.11609498867337864,0.11087887977665722,0.24983527187489524,0.2912746886804998,0.3565735608506297,0.24503355551833148,0.3276046079688395,0.44492369018204037,0.5081191505478589,0.844129277913408,0.32842311449649275,0.23036177344744613,0.26244189262646944,0.3170042273425288
genre mean decode time,0.09270460958096538,0.10974699572734055,0.13675079456344166,0.23637866221826734,0.2921078101044024,0.3593666029070861,0.24746061881830284,0.3318940460574194,0.4559700801093413,0.5171788624967452,0.8629500951157075,0.3297870879674507,0.2198006926065101,0.25066310322481195,0.27066809531038527
jazz mean decode time,0.09208985482996936,0.09969249435821669,0.12129419480949392,0.2302767871396112,0.28841752495079437,0.35238909330874985,0.24747889682268984,0.3283647034970485,0.44980662829111145,0.5100580339117919,0.8505803238169214,0.3285042614004389,0.21754668213079303,0.25129625486328566,0.28469328793704934
popular mean decode time,0.10529889383440047,0.10535239573043065,0.12470994714929375,0.2329920734934813,0.2916198411318977,0.3590550821955171,0.2548369715809567,0.33858166886288776,0.46384874684586114,0.5238820987792878,0.8694386733452766,0.32860057620228555,0.22506890369382607,0.25266379027699887,0.27430167002830597
right mean decode time,0.11617300234258593,0.1053889856191059,0.1273707836326091,0.23711529003753687,0.29718821436820003,0.3627146339492133,0.25259440168384384,0.33747593527942865,0.4540281952729547,0.5169893942830531,0.8674037080577612,0.33138139484781515,0.23591101570974654,0.26612971792260925,0.3086266130240508
Total mean decode time,0.0974186240793018,0.10674454141588721,0.12460013347853167,0.2361262390585293,0.2913122445291587,0.35740662295568876,0.24967619733874494,0.332791809919267,0.4549812485934727,0.5160513433657856,0.8592708384854031,0.32901676296210347,0.22371157687638094,0.25441750897546106,0.28525868615435684
classic mean compression rate,46.85323228426776,44.42801446984726,44.21804350583907,44.288185455359496,43.973319024629575,43.90596431415561,43.96495839343121,43.747184551213905,43.134746573519564,42.35839049316736,41.27502022429546,43.67227655761108,43.66801470621141,43.07710270555778,42.3827441772533
genre mean compression rate,63.716768788536605,58.811169397447,58.427887704867565,58.560758314416034,57.911576469466915,57.6353869906248,58.19574507500649,58.19435553123071,57.09043311755786,56.74075904855773,56.205207076518015,58.167016644217,58.25374377420252,57.895354321434716,57.725203526877436
jazz mean compression rate,52.01547303264453,48.58855835913944,48.12161462267502,48.20324703107962,47.65926055145019,47.43266389737706,47.638319996739874,47.74546085336939,46.5752268157761,46.19697233073255,45.512672256131594,47.51106019125748,47.513554550385614,47.16852254554972,46.86507386145031
popular mean compression rate,74.34030147638703,68.28724228182308,67.91459970296764,68.11550439046727,67.4673290867506,67.18496879431225,67.72464872413661,67.63365305189683,66.63987064833452,66.22249877526852,65.70961826828466,67.70216396469806,67.83706824888795,67.4431693385442,67.2642186075424
right mean compression rate,67.0141390849375,61.35073380319454,61.03042031068601,61.34822003159124,60.69566693456338,60.46577396234672,61.00596543234057,60.92163497408985,59.96897319738204,59.357602081857436,58.588631814542325,60.81757763110515,60.82743210670844,60.391045549243906,59.991114100239386
Total mean compression rate,61.683316738909575,57.12588177295654,56.758405240834776,56.90280870896657,56.33249104509391,56.10312402545649,56.49093530162947,56.44732086654768,55.45104186438572,54.9867027510907,54.31791131039736,56.38686905048018,56.44812217166656,56.039114443605705,55.73390268614004
