,FLAC -0,FLAC -5,FLAC -8,WavPack ,WavPack -h,WavPack -hh,TTA,Monkey's Audio -c1000,Monkey's Audio -c2000,Monkey's Audio -c3000,Monkey's Audio -c4000,MPEG4-ALS ,LINNE -m 0,LINNE -m 4,LINNE -m 7,NARU -m 0,NARU -m 2,NARU -m 4
classic mean encode time,0.11636062790872956,0.1634599953764654,0.3148726864405551,0.2823590084622307,0.4089170091558958,0.4794010537937594,0.22989772818329118,0.2584077345187113,0.3645272907568437,0.4244115977183553,0.8537755203204057,0.7433658278609283,2.6083068513862497,9.177996132907962,15.791378098840994,1.232733248411808,2.5700836503338524,5.622382199043461
genre mean encode time,0.12789462417556333,0.17405377283401466,0.33656259414075373,0.33750040366531736,0.4331648139297193,0.49978336872592993,0.2388208970789698,0.26654826045806795,0.3737020305815902,0.4313921853925274,0.8708666360487284,0.7508742794420175,2.5463771376148903,8.268789644124183,13.768010333442946,1.2529898433105495,2.5919635506255343,5.717204931238068
jazz mean encode time,0.12399995777418621,0.16697088509603245,0.3255777839338038,0.32665592316962166,0.4107217146653588,0.485338094101635,0.23387148592587984,0.2592350110083739,0.35987481737396965,0.4236359424686823,0.8330893235517425,0.750172040569641,2.549636374292817,8.34121003429232,14.388012085235003,1.2431956866943914,2.5680340555976047,5.682089016281941
popular mean encode time,0.13765135562358977,0.1813438332638355,0.344573053392895,0.32799198388303363,0.415153487346046,0.4967893440982373,0.24433819346583788,0.2740028209457842,0.3816799148180655,0.4501248987249406,0.8495119146957109,0.7436491079705749,2.544144174140085,8.22775004979107,14.074232525124572,1.2680275132833483,2.6288479206473094,5.761956373381627
right mean encode time,0.14017094393974458,0.18284385572743175,0.33964502442334965,0.3279296075542237,0.4097887384480546,0.5074619465948126,0.2417144925331214,0.26939256637380127,0.3769550055374448,0.4476385761623856,0.8205976341682839,0.7482603485766699,2.5809021561222156,8.437587410560223,14.640939726087748,1.259730801893773,2.5790798782178723,5.7684850602951725
total mean encode time,0.12894527069686762,0.17350439980299096,0.333113345203416,0.3224808194500458,0.4168143572514819,0.49271369409537247,0.23808939281576724,0.26596682019990214,0.37159813200836667,0.4352662962347465,0.8491097604354011,0.7471206337807456,2.5589057523890366,8.432009893348244,14.395909635672485,1.2524452613183334,2.5930391583694443,5.710823535932954
classic mean decode time,0.09269960650246749,0.09806907669648918,0.0981411982383239,0.24139473786625196,0.3246195241702249,0.3725719665329677,0.25642357216735046,0.34761635317611556,0.4834181790296563,0.5364217349940068,0.8941707876601095,0.32999588329525353,0.23541331146398867,0.26870296752243283,0.31681819379002835,0.43553891114331783,0.44855313132036045,0.5417290442376672
genre mean decode time,0.09582585724454995,0.10625618895059637,0.1069665678177571,0.278363152024712,0.33863057395579316,0.3888963623976193,0.2629425103222265,0.3748189451601392,0.4901860883577778,0.5565997127087147,0.9190812739612024,0.32724709304272365,0.2227911205323818,0.2548700578514372,0.27241922788489276,0.4518327419328884,0.46503691266155833,0.557436960731225
jazz mean decode time,0.0942399259253689,0.100981670300842,0.10162525586161868,0.2713771155126101,0.320933169580344,0.3750282549697886,0.259491010351022,0.3531806839296281,0.47879363524218677,0.5467294318123992,0.8804135258263395,0.3295352855716137,0.22290836986550808,0.25559495924024805,0.2858739907624395,0.44322434909738456,0.45707798061455907,0.5532611059720278
popular mean decode time,0.09991581877978364,0.10877639782997743,0.11091288223305432,0.27372929710791455,0.3241969063293109,0.38391302595437105,0.27108003057213265,0.36054371295671817,0.49418486814381435,0.5582314099568897,0.892742264711716,0.3282165800080591,0.22847508148242496,0.25413105734716646,0.2744254698688735,0.4572730260070631,0.4713767246509408,0.5637637508654647
right mean decode time,0.10422173331408505,0.11237510012083418,0.1106709160204226,0.2819558737683569,0.32917116598957175,0.39432329768600655,0.27295353710298337,0.3677939117219892,0.49129371614380407,0.5760494150276453,0.9015206400802706,0.33211837767959557,0.24339619050444658,0.26864888736856934,0.31105731835862294,0.4536130748864524,0.47052401053262527,0.5572870803895549
